substance_ID,assignment,substances,PubChemCID,CAS,synonyms,chemical,pharmco,street_smarts,trending,new_tags,AI_tags,pronunciation,sixwords,vernacular,notes,smiles1,status,R1 complete,tags,opioid,stimulant,psychedelic,cannabinoid,sedative,steroid,category
71.0,Erin,5-MeO-DMT,1832.0,1019-45-0,"5‐methoxy‐N,N‐dimethyltryptamine",plant grown,"hallucinogen, psychedelic, human effects uncertain",active agent,"historically popular, international relevance","entheogen, tryptamine","psychedelic, hallucinogen, tryptamine",,"Strong hallucinogen, religious use, ""toad venom""",Toad Venom,"Naturally occurring, intensively psychoactive tryptamine hallucinogen, best known for ego dissolution effects when smoked. Found in toad (Colorado River/Sonoran Desert Toad) parotid glands, some plants, and has also been synthesized.  Used in religious ceremonies in South America and other areas.  DEA schedule I.",CN(C)CCC1=CNC2=C1C=C(C=C2)OC,finalize,done,plant grown;hallucinogen;human effects uncertain;psychedelic;active agent;historically popular;international relevance;entheogen;tryptamine;,,,psychedelic,,,,psychedelic
72.0,Erin,5-MeO-MiPT,2763156.0,96096-55-8,,"monoamine reuptake inhibitor, synthetic","hallucinogen, psychedelic, human effects uncertain",active agent,uncommon,entheogen,,,Hallucinogen related to Foxy,Moxy,"5-MeO-MiPT is an analog of the popular drug 5-methoxy-N, N-diisopropyltryptamine (5-MeO-DiPT, Foxy), and it is named “Moxy” and described as a more tactile version of Foxy. https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8909217/.  at higher doses can have more entheogen-type effects like 5-MeO-DMT.",COC1=CC=C(NC=C2CCN(C)C(C)C)C2=C1,finalize,done,monoamine reuptake inhibitor;synthetic;hallucinogen;human effects uncertain;psychedelic;active agent;uncommon;entheogen;,,,psychedelic,,,,psychedelic
73.0,Nab,5-methoxy NiPT,707167.0,,,,human effects uncertain,,,,,,,,,CC(C)NCCC1=CNC2=C1C=C(C=C2)OC,to do,to do,human effects uncertain;,,,,,,,
74.0,,5-methyl etodesnitazene,168323036.0,,,,,,,,,,,,,CCN(CC)CCN1C2=C(C=C(C=C2)C)N=C1CC3=CC=C(C=C3)OCC.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,to do,to do,,,,,,,,
75.0,Nate,6-monoacetylmorphine,520352.0,29593-26-8,6-MAM; 6-AM,"opioid, semi-synthetic",analgesic,active agent,established,,"heroin impurity, opioid, GCMS breakdown product",,heroin metabolite with strong CNS activity,,,CC(=O)OC1C=CC2C3CC4=C5C2(C1OC5=C(C=C4)O)CCN3C,tagging done,to do,opioid;semi-synthetic;analgesic;active agent;established;,opioid,,,,,,opioid
76.0,,7-hydroxymitragynine,44301524.0,,,,,,,,,,,,,CCC1CN2CCC3(C(=NC4=C3C(=CC=C4)OC)C2CC1C(=COC)C(=O)OC)O,,,,,,,,,,
77.0,Nate,8-aminoclonazolam,12562515.0,71368-66-6,7-aminoclonazolam (incorrectly named in some publications),"benzodiazepine, potent benzodiazepine","human effects uncertain, sedative",,emerging,benzodiazepine metabolite,"benzodiazepine, sedative, GCMS breakdown product",,metabolize of benzodiazepine clonazolam,,"metabolite of,  and important biomarker for, designer benzodiazepine clonazolam (https://www.cfsre.org/nps-discovery/public-alerts/updated-trend-reporting-for-the-nps-benzodiazepine-clonazolam-based-on-data-mining-for-8-aminoclonazolam)",CC1=NN=C2N1C3=C(C=C(C=C3)N)C(=NC2)C4=CC=CC=C4Cl,tagging done,to do,benzodiazepine;potent benzodiazepine;human effects uncertain;sedative;emerging;benzodiazepine metabolite;,,,,,sedative,,sedative
79.0,Nab,acetaminophen,1983.0,103-90-2,APAP;paracetamol,synthetic,"analgesic, fever/pain reliever","active agent, bulking agent, over the counter","established, international relevance",likely pharmaceutical origin,"fever/pain reliever, analgesic, common",a-sea-toe-minnow-fen,Common pain medication available without prescription,Tylenol,"Very common over the counter pain and fever reducer, as brand name Tylenol. Liver toxicity noted in high doses. Also included in some prescription opioid analgesic like Vicodin. Major metabolite of phenacetin.",CC(=O)NC1=CC=C(C=C1)O,finalize,done,synthetic;analgesic;fever/pain reliever;active agent;bulking agent;over the counter;established;international relevance;likely pharmaceutical origin;,,,,,,,other
80.0,Nab,acetamiprid,213021.0,160430-64-8,Assail;Chipco,"contaminant, insecticide",human effects uncertain,,"concern, emerging, uncommon",neonicotinoid,,,"Insecticide sold as dope, Summer 2024",,,CC(=NC#N)N(C)CC1=CN=C(C=C1)Cl,tagging done,to do,contaminant;insecticide;human effects uncertain;concern;emerging;uncommon;neonicotinoid;,,,,,,,other
81.0,Nab,acetanilide,904.0,103-84-4,,,"analgesic, fever/pain reliever","active agent, cut",historically popular,,"impurity, GCMS breakdown product, uncommon",,Fentanyl cut; Tylenol alternative in 1800s,,Mostly converted to acetaminophen (Tylenol) in the body. Alternate pathway produces some aniline which can cause blood problems (methemoglobinemia) with high or chronic exposure. Sold historically as Antifebrin.,CC(=O)NC1=CC=CC=C1,finalize,done,analgesic;fever/pain reliever;active agent;cut;historically popular;,,,,,,,other
82.0,,acetophenone,7410.0,,,,,,,,,,,,,CC(=O)C1=CC=CC=C1,to do,to do,,,,,,,,
83.0,Nate,acetyl fentanyl,527015.0,3258-84-2,N-(1-phenethylpiperidin-4-yl)-N-phenylacetamide,"opioid, fentanyl analogue, synthetic",analgesic,active agent,"concern, established",,"fentanyl, opioid, synthetic",a-sea-til-phen-ta-nil,potent fentanyl analogue,,,CC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,tagging done,to do,fentanyl analogue;opioid;synthetic;analgesic;active agent;concern;established;,opioid,,,,,,opioid
84.0,,acetyl tributyl citrate,6505.0,,,,,,,,,,,,,CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)OC(=O)C,,,,,,,,,,
85.0,Nate,acetylcodeine,5486550.0,6703-27-1,6-monoacetylcodeine; 6-MAC,"heroin impurity, impurity, opioid, weak opioid",human effects uncertain,,,codeine derivative,"heroin impurity, opioid, GCMS breakdown product",a-sea-til-co-dean,"impurity from synthesizing fentanyl, codeine derivative",,,CC(=O)OC1C=CC2C3CC4=C5C2(C1OC5=C(C=C4)OC)CCN3C,tagging done,to do,heroin impurity;impurity;opioid;weak opioid;human effects uncertain;codeine derivative;,opioid,,,,,,opioid
86.0,Nab,ADB-4en-PINACA,162368474.0,2659308-44-6,,"cannabinoid, synthetic, synthetic cannabinoid","human effects uncertain, sedative","active agent, downer",uncommon,,"synthetic, synthetic cannabinoid, GCMS breakdown product",,"Synthetic weed, no human studies",spice;K2,"Synthetic cannabinoid DEA Schedule II (temporary as of december 2023), no human studies but anecdotally synthetic cannabinoids are stronger than cannabinoids and tend to have stronger side effect profile with more mental health risks.",CC(C)(C)C(C(=O)N)NC(=O)C1=NN(C2=CC=CC=C21)CCCC=C,finalize,done,cannabinoid;synthetic;synthetic cannabinoid;human effects uncertain;sedative;active agent;downer;uncommon;,,,,cannabinoid,sedative,,"cannabinoid,sedative"
87.0,Nab,ADB-5'Br-BUTINACA,168322646.0,,,"cannabinoid, synthetic, synthetic cannabinoid","human effects uncertain, sedative","active agent, downer",uncommon,,"synthetic, synthetic cannabinoid, emerging",,"Synthetic weed, no human studies",,"Newer synthetic cannabinoid with no DEA scheduling yet, no human studies but anecdotally synthetic cannabinoids are stronger than cannabinoids and tend to have stronger side effect profile with more mental health risks.",CCCCN1C2=C(C=C(C=C2)Br)C(=N1)C(=O)NC(C(=O)N)C(C)(C)C,finalize,done,cannabinoid;synthetic;synthetic cannabinoid;human effects uncertain;sedative;active agent;downer;uncommon;,,,,cannabinoid,sedative,,"cannabinoid,sedative"
88.0,Nab,ADB-BUTINACA,155907792.0,2682867-55-4,,"cannabinoid, synthetic, synthetic cannabinoid","human effects uncertain, sedative","active agent, downer",uncommon,,"synthetic, synthetic cannabinoid, GCMS breakdown product",,"Synthetic weed, no human studies",spice;K2,"Synthetic cannabinoid DEA Schedule I, no human studies but anecdotally synthetic cannabinoids are stronger than cannabinoids and tend to have stronger side effect profile with more mental health risks.",CCCCN1C2=CC=CC=C2C(=N1)C(=O)NC(C(=O)N)C(C)(C)C,finalize,done,cannabinoid;synthetic;synthetic cannabinoid;human effects uncertain;sedative;active agent;downer;uncommon;,,,,cannabinoid,sedative,,"cannabinoid,sedative"
89.0,Nab,ADB-INACA,147306780.0,,,"cannabinoid, synthetic, synthetic cannabinoid","human effects uncertain, sedative","active agent, downer",uncommon,,"synthetic, synthetic cannabinoid, GCMS breakdown product",,"Synthetic weed, no human studies",spice;K2,"Synthetic cannabinoid with no DEA scheduling, no human studies but anecdotally synthetic cannabinoids are stronger than cannabinoids and tend to have stronger side effect profile with more mental health risks.",CC(C)(C)C(C(=O)N)NC(=O)C1=NNC2=CC=CC=C21,finalize,done,cannabinoid;synthetic;synthetic cannabinoid;human effects uncertain;sedative;active agent;downer;uncommon;,,,,cannabinoid,sedative,,"cannabinoid,sedative"
90.0,Nab,adrafinil,3033226.0,63547-13-7,2-((diphenylmethyl)sulfinyl)-N-hydroxyacetamide,"stimulant, synthetic","nootropic, supplement","active agent, upper","historically popular, international relevance, uncommon",likely pharmaceutical origin,"supplement, GCMS breakdown product, emerging",,increases energy/wakefulness,Olmifon,"Adrafinil is a prodrug of modafinil (aka Provigil), meaning adrafinil gets broken down to modafinil in the human body. When taken orally, take about an hour to feel effects. removed from market in France for safety concerns and did not earn FDA approval.",C1=CC=C(C=C1)C(C2=CC=CC=C2)S(=O)CC(=O)NO,finalize,done,stimulant;synthetic;nootropic;supplement;active agent;upper;historically popular;international relevance;uncommon;likely pharmaceutical origin;,,stimulant,,,,,stimulant
91.0,,ALD-52,201111.0,,,,,,,,,,,,,CCN(CC)C(=O)C1CN(C2CC3=CN(C4=CC=CC(=C34)C2=C1)C(=O)C)C,,,,,,,,,,
92.0,Nab,alpha-benzyl-N-methylphenethylamine,93287.0,53660-20-1,BNMPA;α-Benzyl-N-methylphenethylamine,"methamphetamine impurity, synthetic",human effects uncertain,upper,uncommon,possibly psychoactive,"impurity, GCMS breakdown product, uncommon",,part of poorly-made methamphetamine,,"https://www.sciencedirect.com/science/article/abs/pii/0014299996004360 Byproduct/impurity from subpar meth synthesis process, human effects unknown, but animal studies concerning for convulsion and multiple sites of action in CNS",CNC(CC1=CC=CC=C1)CC2=CC=CC=C2,finalize,done,methamphetamine impurity;synthetic;human effects uncertain;upper;uncommon;possibly psychoactive;,,,,,,,other
93.0,,alpha-methyl tryptamine,9287.0,,,,,,,,,,,,,CC(CC1=CNC2=CC=CC=C21)N,,,,,,,,,,
94.0,Nate,alprazolam,2118.0,28981-97-7,"Xanax; 8-chloro-1-methyl-6-phenyl-4H-[1,2,4]triazolo[4,3-a][1,4]benzodiazepine; 8-chloro-1-methyl-6-phenyl-4h-s-triazolo[4,3-a][1,4]benzodiazepine; 8-Chloro-1-methyl-6-phenyl-4H-s-triazolo [4,3-alpha]-1,4-benzodiazepine; Alplax; Alprazlam; Tranquinal; Xanor",benzodiazepine,"anti-anxiety, sedative","active agent, downer",,"decreasing, likely pharmaceutical origin","benzodiazepine, sedative, common",al-praise-o-lam,prescription benzodiazepine,benzos; downers; Xanax; Xannies; Zannies; handlebars; bars; z-bars; totem poles; sandbars; blue footballs; upjohn,,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,tagging done,to do,benzodiazepine;anti-anxiety;sedative;active agent;downer;decreasing;likely pharmaceutical origin;,,,,,sedative,,sedative
95.0,Nab,aminopyrine,6009.0,58-15-1,aminophenazone;amidopyrine,,analgesic,active agent,"international relevance, uncommon",likely pharmaceutical origin,"fever/pain reliever, analgesic, uncommon",,non-opiate pain medication; dangerous side effects,,old medication now off market in most developed countries due to major side effect profile (renal damage and aplastic anemia most notably).  fever/pain reliever but carries a serious risk of severe and sometimes fatal side-effects.,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)CÂ Â,finalize,done,analgesic;active agent;international relevance;uncommon;likely pharmaceutical origin;,,,,,,,other
96.0,Erin,amphetamine,3007.0,300-62-9,,"stimulant, synthetic",nootropic,"active agent, upper","established, historically popular, international relevance",,"amphetamine & derivatives, stimulant, common",am-fet-a-mean,Prescription upper/stimulant,speed;Adderall; many other names,"Can be pharmaceutical or illicitly manufactured, in ADHD used to improve focus/attention",CN(C)CCC1=CNC2=C1C=C(C=C2)OC,finalize,done,stimulant;synthetic;nootropic;active agent;upper;established;historically popular;international relevance;,,stimulant,,,,,stimulant
97.0,Nab,aniline,6115.0,62-53-3,,"fentanyl impurity, synthetic",,,uncommon,"not psychoactive, distinctive taste/smell","impurity, GCMS breakdown product, uncommon",an-eh-line,"Fentanyl synthesis leftover, rotting fish smell",,Leftover nasty chemical from poorly manufactured fentanyl. Distinctive burning taste and smell. Aniline is replaced with fluroaniline when making p-fluorofentanyl.,C1=CC=C(C=C1)N,finalize,done,fentanyl impurity;synthetic;uncommon;distinctive taste/smell;not psychoactive;,,,,,,,other
98.0,Erin,APB,152655.0,,(2-aminopropyl)benzofuran),"stimulant, synthetic","hallucinogen, psychedelic","active agent, upper","emerging, international relevance","empathogen, phenethylamines","psychedelic, entactogen, emerging",,upper-hallucinogen in nightlife,Benzo fury,Substituted benzofuran and substituted phenethylamine. Isomer not determined. Designer Drug/Research chemical. Compared to MDMA by some but more potent. https://pubmed.ncbi.nlm.nih.gov/30723925/,CC(N)CC1=CC=CC2=C1C=CO2.Cl,finalize,done,stimulant;synthetic;hallucinogen;psychedelic;active agent;upper;emerging;international relevance;empathogen;phenethylamines;,,stimulant,psychedelic,,,,"psychedelic,stimulant"
99.0,Nab,aspirin,2244.0,50-78-2,,,"analgesic, fever/pain reliever","active agent, bulking agent, over the counter",established,"likely pharmaceutical origin, NSAID","fever/pain reliever, analgesic, common",as-preen,Common pain medication like ibuprofen,,"NSAID pain reliever. generally administered orally, but unlikely to be harmful injected unless frequent/high doses. Likely from pharmaceutical origin; not known to be commonly illicitly manufactured.",CC(=O)OC1=CC=CC=C1C(=O)O,finalize,done,analgesic;fever/pain reliever;active agent;bulking agent;over the counter;established;NSAID;likely pharmaceutical origin;,,,,,,,other
100.0,,atropine,174174.0,,,,,,,,,,,,,CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3,,,,,,,,,,
101.0,Nab,benzocaine,2337.0,94-09-7,,synthetic,"anesthetic, numbing agent","active agent, over the counter, topical/dermal",established,likely pharmaceutical origin,"anesthetic, topical/dermal, over the counter",,used for numbing. can stop heart.,Orajel,"Commonly used in cough drops and throat sprays (Orajel, Chlorospectic), and local anesthetic for procedures and dental work. Sodium channel blocker which, at high enough doses would be fatal by causing cardiac arrest.",CCOC(=O)C1=CC=C(C=C1)N,finalize,done,synthetic;anesthetic;numbing agent;active agent;over the counter;topical/dermal;established;likely pharmaceutical origin;,,,,,,,other
102.0,Nab,benzoic acid,243.0,65-85-0,,"cocaine impurity, GCMS breakdown product",preservative,,"established, uncommon",not psychoactive,"impurity, GCMS breakdown product, uncommon",ben-zo-ick acid,Made when cocaine is heated,,"result of heating cocaine, non-toxic for normal human exposure, but no studies of effects of ingested or injecting",C1=CC=C(C=C1)C(=O)O,finalize,done,GCMS breakdown product;cocaine impurity;preservative;established;uncommon;not psychoactive;,,,,,,,other
103.0,,benzoin,8400.0,,,,,,,,,,,,,C1=CC=C(C=C1)C(C(=O)C2=CC=CC=C2)O,to do,to do,,,,,,,,
104.0,Erin,benzoylecgonine,23056.0,6/2/6581,BZ,"cocaine impurity, plant grown, stimulant","anesthetic, numbing agent","topical/dermal, upper","established, international relevance",not psychoactive,"cocaine impurity, stimulant, GCMS breakdown product",,"Coca plant part, medical anesthetic",,"Stays in blood/urine longer than cocaine and is therefore used in urine drug tests. Whereas cocaine is scheduled, BZ is not.",C1CN2CCC1C(C2)OC(=O)C(C3=CC=CC=C3)(C4=CC=CC=C4)OÂ Â,tagging done,to do,cocaine impurity;plant grown;stimulant;anesthetic;numbing agent;topical/dermal;upper;established;international relevance;not psychoactive;,,stimulant,,,,,stimulant
105.0,Nab,benzyl alcohol,244.0,100-51-6,,"cocaine impurity, GCMS breakdown product, impurity, solvent, synthetic",,over the counter,established,not psychoactive,"impurity, GCMS breakdown product, uncommon",,"Found with cocaine, no high",,"Old medicine for head lice, no longer used in US.",C1=CC=C(C=C1)CO,finalize,done,GCMS breakdown product;cocaine impurity;impurity;solvent;synthetic;over the counter;established;not psychoactive;,,,,,,,other
106.0,Nab,benzyl benzoate,2345.0,120-51-4,,,inert,"bulking agent, cut, over the counter, topical/dermal",,not psychoactive,"impurity, GCMS breakdown product, uncommon",,"Scabies, asthma medicine; prescribed medicine filler",,Used as an excipient (filler) in pharmaceutical testosterone (like Nebido).,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,finalize,done,inert;bulking agent;cut;over the counter;topical/dermal;not psychoactive;,,,,,,,other
107.0,Nate,bipiperidinyl 4-ANPP,156588928.0,2515737-24-1,"N-phenyl-1′-(2-phenylethyl)-[1,4′-bipiperidin]-4-amine","ace inhibitor, fentanyl impurity",human effects uncertain,,emerging,,"fentanyl precursor, fentanyl impurity, opioid",,Impurity from producing fentanyl,,,C1CN(CCC1NC2=CC=CC=C2)C3CCN(CC3)CCC4=CC=CC=C4,tagging done,to do,ace inhibitor;fentanyl impurity;human effects uncertain;emerging;,,,,,,,other
108.0,,bis sebacate,31218.0,,,,,,,,,,,,,CCCCC(CC)COC(=O)CCCCCCCCC(=O)OCC(CC)CCCC,to do,to do,,,,,,,,
109.0,Nab,"bis(2,2,6,6-tetramethyl-4-piperidyl) sebacate",164282.0,52829-07-9,Tinuvin;BTMPS,"contaminant, impurity, industrial chemical, synthetic",human effects uncertain,,"concern, emerging",,,,"Industrial chemical contaminant, irritant, Summer 2024",,,CC1(CC(CC(N1)(C)C)OC(=O)CCCCCCCCC(=O)OC2CC(NC(C2)(C)C)(C)C)C,tagging done,to do,contaminant;impurity;industrial chemical;synthetic;human effects uncertain;concern;emerging;,,,,,,,other
110.0,Nate,bromazolam,12562546.0,71368-80-4,"bromo-1-methyl-6-phenyl-4H-S-triazolo[4,3-a][1,4]benzodiazepine","benzodiazepine, potent benzodiazepine","anti-anxiety, muscle relaxant, sedative","active agent, downer","concern, emerging, international relevance",,"benzodiazepine, sedative, emerging",bro-maze-o-lam,designer benzodiazepine often mixed with opioids,XLI-268; Fake Xanax; Xanax; Dope,,CC1=NN=C2N1C3=C(C=C(C=C3)Br)C(=NC2)C4=CC=CC=C4,tagging done,to do,benzodiazepine;potent benzodiazepine;anti-anxiety;muscle relaxant;sedative;active agent;downer;concern;emerging;international relevance;,,,,,sedative,,sedative
111.0,,brorphine,145975294.0,,,,,,,,,,,,,CC(C1=CC=C(C=C1)Br)N2CCC(CC2)N3C4=CC=CC=C4NC3=O,,,,,,,,,,
112.0,,bupivacaine,2474.0,,,,,,,,,,,,,CCCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C,to do,to do,,,,,,,,
113.0,Nate,buprenorphine,644073.0,52485-79-7,Suboxone; Subutex,"opioid, semi-synthetic",analgesic,"active agent, downer",established,opioid use disorder treatment,"opioid, analgesic, common",bu-pre-nor-phen,Suboxone used to treat opioid dependence,"Zubsolv, Suboxone, Subutex, Brixadi,  Butec, Buvidal, Espranor, Big Whites, Buse, Oranges, Small Whites, Sobos, Stops, Strips, Sub, Subs",,CC(C)(C)C(C)(C1CC23CCC1(C4C25CCN(C3CC6=C5C(=C(C=C6)O)O4)CC7CC7)OC)O,tagging done,to do,opioid;semi-synthetic;analgesic;active agent;downer;established;opioid use disorder treatment;,opioid,,,,,,opioid
114.0,Nab,buspirone,2477.0,36505-84-7,,synthetic,anti-anxiety,"active agent, cut, downer",uncommon,likely pharmaceutical origin,"anti-anxiety, sedative, common",,"Prescription anti-anxiety medication. Takes a month to build up in body before it's effective. No particularly compelling reason why it should be in street drugs, other than as a bulking agent, or in fake pills.","Buspar, Vanspar",Likely from pharmaceutical origin; not known to be commonly illicitly manufactured.,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4,finalize,done,synthetic;anti-anxiety;active agent;cut;downer;uncommon;likely pharmaceutical origin;,,,,,,,other
115.0,Nab,caffeine,2519.0,58-08-2,"1,3,7-trimethylxanthine",stimulant,"nootropic, supplement","active agent, cut, over the counter, upper","established, international relevance",likely pharmaceutical origin,"stimulant, common, international relevance",caf-een,Classic upper in coffee and pills,,,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,finalize,done,stimulant;nootropic;supplement;active agent;cut;over the counter;upper;established;international relevance;likely pharmaceutical origin;,,stimulant,,,,,stimulant
116.0,Erin,cannabidiol,644019.0,13956-29-1,CBD,"cannabinoid, plant grown",,"active agent, non-toxic, topical/dermal",established,,"cannabiniod, anti-anxiety, common",ca-nab-di-die-ol,"Common part of weed, no high",CBD,"Widely available in the US as hemp-derived product in ointments, foods, etc. Likely has medicinal properties for pain or anxiety and may reduce paranoia from THC. No psychotropic/high effects",CCCCCC1=CC(=C(C(=C1)O)C2C=C(CCC2C(=C)C)C)O,finalize,done,cannabinoid;plant grown;active agent;non-toxic;topical/dermal;established;,,,,cannabinoid,,,cannabinoid
117.0,Erin,cannabigerol,5315659.0,25654-31-3,CBG,"cannabinoid, plant grown",,non-toxic,established,not psychoactive,"cannabiniod, non-psychoactive, emerging",,"CBG from marijuana plant, no high",CBG,Less active vs not psychoactive part of the marijuana plant. Has potential medicinal uses.,CCCCCC1=CC(=C(C(=C1)O)C/C=C(\C)/CCC=C(C)C)OÂ Â,finalize,done,cannabinoid;plant grown;non-toxic;established;not psychoactive;,,,,cannabinoid,,,cannabinoid
118.0,Erin,cannabinol,2543.0,521-35-7,CBN,"cannabinoid, plant grown",,"active agent, non-toxic",established,,"cannabiniod, psychoactive, common",ca-na-bin-ol,"CBN from weed, no high",CBN,Less active vs not psychoactive part of the Cannibus plant. Has potential medicinal uses.,CCCCCC1=CC(=C2C(=C1)OC(C3=C2C=C(C=C3)C)(C)C)O,finalize,done,cannabinoid;plant grown;active agent;non-toxic;established;,,,,cannabinoid,,,cannabinoid
119.0,,canrenone,13789.0,,,,,,,,,,,,,CC12CCC(=O)C=C1C=CC3C2CCC4(C3CCC45CCC(=O)O5)C,,,,,,,,,,
120.0,Nate,carfentanil,62156.0,59708-52-0,methyl 1-(2-phenylethyl)-4-(N-propanoylanilino)piperidine-4-carboxylate,"opioid, synthetic","analgesic, sedative","active agent, downer","concern, established",,"fentanyl, opioid, synthetic",car-phen-ta-nil,"animal tranquilizer, more potent than fentanyl","Apache, China Girl, China White, Dance Fever, Friend, Goodfella, Gray Death, Jackpot, Murder 8, TNT, and Tango and Cash.",,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCC3=CC=CC=C3)C(=O)OC,tagging done,to do,opioid;synthetic;analgesic;sedative;active agent;downer;concern;established;,opioid,,,,sedative,,"opioid,sedative"
121.0,Nab,carisoprodol,2576.0,78-44-4,Soma,synthetic,"muscle relaxant, sedative","active agent, downer",established,likely pharmaceutical origin,"muscle relaxant, sedative, common",,"Common prescription muscle relaxer, downer",Soma,Likely from pharmaceutical origin; not known to be commonly illicitly manufactured.,CCCC(C)(COC(=O)N)COC(=O)NC(C)C,finalize,done,synthetic;muscle relaxant;sedative;active agent;downer;established;likely pharmaceutical origin;,,,,,sedative,,sedative
122.0,,chlorcyclizine,2710.0,,,,,,,,,,,,,CN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,,,,,,,,,,
123.0,Erin,cinnamoylcocaine,6440936.0,521-67-5,methylecgonine cinnamate,"cocaine impurity, plant grown, stimulant",,,established,not psychoactive,"cocaine impurity, stimulant, GCMS breakdown product",,"From coca plant, no high",,Presence with cocaine can suggest which kind of synthesis method was used to make coke. impurity that causes no high with no known health risks,CN1C2CCC1C(C(C2)OC(=O)C=CC3=CC=CC=C3)C(=O)OC,finalize,done,cocaine impurity;plant grown;stimulant;established;not psychoactive;,,stimulant,,,,,stimulant
124.0,Nate,clomiphene,1548953.0,15690-57-0,"2-[4-(2-chloro-1,2-diphenylethenyl)phenoxy]-N,N-diethylethanamine",hormone,,active agent,,fertility treatment,"hormone, fertility treatment, uncommon",,"infertility drug, low abuse potential",,,CCN(CC)CCOC1=CC=C(C=C1)C(=C(C2=CC=CC=C2)Cl)C3=CC=CC=C3,tagging done,to do,hormone;active agent;fertility treatment;,,,,,,steroid,steroid
125.0,Nate,clonazepam,2802.0,1622-61-3,"5-(2-chlorophenyl)-1,3-dihydro-7-nitro-2H-1,4-benzodiazepine-2-one; Klonopin; Rivotril",benzodiazepine,"anti-anxiety, muscle relaxant, sedative","active agent, downer",established,prescription,"benzodiazepine, sedative, common",,prescription benzodiazepine,Klonopin; Rivotril; Benzo; KPin; Trank; Downer; Super Valium; Pin,,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3Cl,tagging done,to do,benzodiazepine;anti-anxiety;muscle relaxant;sedative;active agent;downer;established;prescription;,,,,,sedative,,sedative
126.0,Nate,clonazolam,12317881.0,33887-02-4,"clonitrazolam; 6-(2-chlorophenyl)-1-methyl-8-nitro-4H-[1,2,4]triazolo[4,3-a][1,4]benzodiazepine","benzodiazepine, potent benzodiazepine","anti-anxiety, muscle relaxant, sedative","active agent, downer",emerging,,"benzodiazepine, sedative, emerging",clo-na-zo-lam,potent benzo related to Klonopin,Elon; Clam; C-Lam; Benzo; Trank; Downer;,,CC1=NN=C2N1C3=C(C=C(C=C3)[N+](=O)[O-])C(=NC2)C4=CC=CC=C4Cl,tagging done,to do,benzodiazepine;potent benzodiazepine;anti-anxiety;muscle relaxant;sedative;active agent;downer;emerging;,,,,,sedative,,sedative
127.0,,clotrimazole,2812.0,,,,,,,,,,,,,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4,,,,,,,,,,
128.0,Erin,cocaine,446220.0,50-36-2,,"semi-synthetic, stimulant",numbing agent,active agent,"established, historically popular, international relevance",,"stimulant, addictive, common",coke-cane,"Classic upper, coke or crack forms",coke,Our lab does not differentiate between powdered cocaine and hyrochloride and cocaine base (crack or rock). https://en.wikipedia.org/wiki/Cocaine,CN1C2CCC1C(C(C2)OC(=O)C3=CC=CC=C3)C(=O)OC,finalize,done,semi-synthetic;stimulant;numbing agent;active agent;established;historically popular;international relevance;,,stimulant,,,,,stimulant
129.0,Nate,codeine,5284371.0,76-57-3,"3-Methylmorphine, Tylenol # 3, Tylenol #4, (5α,6α)-7,8-didehydro-4,5-epoxy-3-methoxy-17-methylmorphinan-6-ol","heroin impurity, opioid, weak opioid, plant grown","analgesic, anti-tussive","active agent, downer","established, historically popular",,"opioid, analgesic, common",co-dean,weaker prescription opioid with abuse potential,"captain cody, cody, little c, and school boy","Body metabolizes codeine to morphine (which then provides more symptom relief), persons who rapidly metabolize codeine have higher risk of overdose, Codeine and its derivatives may be present in opioid samples as an impurity.",CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(C=C4)O,tagging done,to do,heroin impurity;opioid;plant grown;weak opioid;analgesic;anti-tussive;active agent;downer;established;historically popular;,opioid,,,,,,opioid
130.0,Nab,cyclobenzaprine,2895.0,303-53-7,,synthetic,muscle relaxant,"active agent, cut, downer",uncommon,likely pharmaceutical origin,"muscle relaxant, sedative, common",sye-kloe-ben-za-preen,"common prescription muscle relaxer, downer",Flexeril,Likely from pharmaceutical origin; not known to be commonly illicitly manufactured.,CN(C)CCC=C1C2=CC=CC=C2C=CC3=CC=CC=C31,finalize,done,synthetic;muscle relaxant;active agent;cut;downer;uncommon;likely pharmaceutical origin;,,,,,,,other
